User ID,Product ID,Product Name,Brand,Category,Price,Rating,Color,Size
3297,791,Jeans,Gucci,Women's Fashion,58.0,3.48,Green,L
1559,686,Jeans,H&M,Women's Fashion,75.0,4.2009,Green,M
1743,115,Dress,Adidas,Kids' Fashion,64.0,3.7044,Blue,L
681,399,Dress,Adidas,Men's Fashion,37.0,2.4504,Yellow,L
3719,929,Shoes,Gucci,Kids' Fashion,33.0,4.6679,Blue,S
2568,959,Sweater,H&M,Kids' Fashion,45.0,3.2486,Yellow,XL
4475,192,Sweater,Zara,Kids' Fashion,87.0,4.4296,White,L
945,755,T-shirt,Zara,Women's Fashion,90.0,3.9216,White,S
1729,643,T-shirt,Zara,Kids' Fashion,42.0,4.7228,Black,L
456,698,Sweater,Zara,Men's Fashion,85.0,1.3557,White,XL
547,963,Shoes,H&M,Men's Fashion,21.0,5.0,Black,XL
4401,767,Shoes,H&M,Men's Fashion,72.0,4.89,Yellow,L
2090,357,T-shirt,Adidas,Kids' Fashion,15.0,3.7413,Yellow,L
1270,930,T-shirt,Adidas,Women's Fashion,31.0,4.1491,White,M
233,32,T-shirt,Nike,Kids' Fashion,78.0,4.988,White,XL
4365,927,T-shirt,Adidas,Men's Fashion,71.0,5.0,White,XL
4721,684,Dress,Adidas,Women's Fashion,12.0,3.3388,White,S
1395,145,T-shirt,Zara,Kids' Fashion,60.0,5.0,Green,S
648,747,Jeans,Adidas,Kids' Fashion,73.0,1.8725,White,XL
1904,488,Sweater,H&M,Men's Fashion,81.0,1.8023,Yellow,XL
3174,368,Shoes,Nike,Women's Fashion,35.0,1.189,Blue,XL
2398,606,Dress,Nike,Women's Fashion,28.0,4.6007,White,S
4547,442,T-shirt,H&M,Men's Fashion,74.0,4.6211,Red,S
3479,630,T-shirt,Nike,Women's Fashion,84.0,1.3987,White,XL
2956,729,Sweater,Gucci,Kids' Fashion,10.0,3.1144,Yellow,XL
3260,314,Jeans,Nike,Kids' Fashion,94.0,2.5574,Red,L
2246,744,Shoes,Zara,Men's Fashion,97.0,4.5452,Black,XL
2551,556,T-shirt,H&M,Women's Fashion,39.0,3.0556,Red,L
3122,163,Dress,Nike,Women's Fashion,93.0,4.3503,Green,S
4550,741,Shoes,Nike,Women's Fashion,81.0,3.7095,Blue,XL
2282,498,Dress,Zara,Men's Fashion,59.0,3.6751,Yellow,XL
4240,477,Sweater,Nike,Men's Fashion,30.0,1.8344,Black,S
1733,284,T-shirt,Zara,Men's Fashion,23.0,4.7614,Black,S
2408,83,Shoes,Nike,Women's Fashion,49.0,1.2516,Blue,L
3476,777,Jeans,Adidas,Kids' Fashion,88.0,1.4096,Green,M
272,730,Jeans,Zara,Kids' Fashion,68.0,2.3151,Green,M
4794,500,Shoes,Zara,Women's Fashion,88.0,2.5899,Red,M
2034,406,Shoes,Nike,Men's Fashion,54.0,2.5984,Black,L
